LatC,LonC,country,pop
46.75,-0.25,FR,103012.015823364
47.25,-0.25,FR,194701.929779053
47.75,-0.25,FR,150854.49697876
48.25,-0.25,FR,74499.161239624
48.75,-0.25,FR,101881.852371216
49.25,-0.25,FR,395046.215085983
42.75,0.25,FR,20965.0921030045
43.25,0.25,FR,178291.272232056
43.75,0.25,FR,57120.7121047974
44.25,0.25,FR,101009.633340836
44.75,0.25,FR,142936.122268677
45.25,0.25,FR,77860.5869064331
45.75,0.25,FR,208712.300956726
46.25,0.25,FR,80321.3274993896
46.75,0.25,FR,264765.839157104
47.25,0.25,FR,109481.180877686
47.75,0.25,FR,250593.290725708
48.25,0.25,FR,251552.085662842
48.75,0.25,FR,62343.3235321045
49.25,0.25,FR,247534.707122803
49.75,0.25,FR,246974.223543167
42.75,0.75,FR,31571.2309646606
43.25,0.75,FR,96550.1700286865
43.75,0.75,FR,90833.868560791
44.25,0.75,FR,217146.726974487
44.75,0.75,FR,82021.4858856201
45.25,0.75,FR,150301.144012451
45.75,0.75,FR,76607.7488250732
46.25,0.75,FR,45582.0241699219
46.75,0.75,FR,105211.542739868
47.25,0.75,FR,455240.583587646
47.75,0.75,FR,84445.9401855469
48.25,0.75,FR,95337.8027801514
48.75,0.75,FR,93577.522064209
49.25,0.75,FR,215450.489532471
49.75,0.75,FR,175074.99477005
42.75,1.25,FR,39834.7045860291
43.25,1.25,FR,219010.747528076
43.75,1.25,FR,1105586.3034668
44.25,1.25,FR,179298.760742188
44.75,1.25,FR,87175.407585144
45.25,1.25,FR,110406.821548462
45.75,1.25,FR,305420.23538208
46.25,1.25,FR,50409.5469818115
46.75,1.25,FR,45794.242275238
47.25,1.25,FR,99107.4991950989
47.75,1.25,FR,170206.199768066
48.25,1.25,FR,162167.240539551
48.75,1.25,FR,190825.147445679
49.25,1.25,FR,711679.160369873
49.75,1.25,FR,190293.268814147
50.25,1.25,FR,30343.2243423462
42.25,1.75,FR,104937.180797577
42.75,1.75,FR,122747.977359772
43.25,1.75,FR,166425.685707092
43.75,1.75,FR,263381.056167603
44.25,1.75,FR,65660.0643234253
44.75,1.75,FR,68599.7987747192
45.25,1.75,FR,139603.543384552
45.75,1.75,FR,34340.1343002319
46.25,1.75,FR,65151.3098602295
46.75,1.75,FR,128132.305500031
47.25,1.75,FR,73897.6834907532
47.75,1.75,FR,362116.25793457
48.25,1.75,FR,109336.88494873
48.75,1.75,FR,599023.927124023
49.25,1.75,FR,244009.468902588
49.75,1.75,FR,101470.889419556
50.25,1.75,FR,176411.581392884
50.75,1.75,FR,330542.16305542
42.25,2.25,FR,133128.041246414
42.75,2.25,FR,44673.9223976135
43.25,2.25,FR,190123.625720978
43.75,2.25,FR,230575.018432617
44.25,2.25,FR,95121.4226531982
44.75,2.25,FR,118818.675559998
45.25,2.25,FR,45101.8651885986
45.75,2.25,FR,38902.1164245605
46.25,2.25,FR,38818.6759109497
46.75,2.25,FR,56204.7509155273
47.25,2.25,FR,171231.484062195
47.75,2.25,FR,122555.892669678
48.25,2.25,FR,169775.12663269
48.75,2.25,FR,8939169.80432129
49.25,2.25,FR,990477.716308594
49.75,2.25,FR,282888.141830444
50.25,2.25,FR,134408.316299438
50.75,2.25,FR,317969.102508545
42.25,2.75,FR,240912.588500977
42.75,2.75,FR,400789.619838715
43.25,2.75,FR,140694.743797302
43.75,2.75,FR,36885.2049751282
44.25,2.75,FR,101992.252716064
44.75,2.75,FR,39381.636631012
45.25,2.75,FR,26807.457490921
45.75,2.75,FR,51329.063659668
46.25,2.75,FR,115225.852172852
46.75,2.75,FR,49592.947593689
47.25,2.75,FR,69528.9451599121
47.75,2.75,FR,113682.476119995
48.25,2.75,FR,262906.970489502
48.75,2.75,FR,1942792.77709961
49.25,2.75,FR,354730.848846436
49.75,2.75,FR,154521.109375
50.25,2.75,FR,618551.773773193
42.75,3.25,FR,64042.5757141113
43.25,3.25,FR,329390.326927185
43.75,3.25,FR,102833.468626976
44.25,3.25,FR,51045.1493835449
44.75,3.25,FR,46056.4877510071
45.25,3.25,FR,69803.3783874512
45.75,3.25,FR,502894.991317749
46.25,3.25,FR,140445.79284668
46.75,3.25,FR,130691.983219147
47.25,3.25,FR,76329.0492401123
47.75,3.25,FR,69637.2098846436
48.25,3.25,FR,162114.828109741
48.75,3.25,FR,170676.05708313
49.25,3.25,FR,177150.386169434
49.75,3.25,FR,232971.898864746
43.25,3.75,FR,144603.183906555
43.75,3.75,FR,613539.341842651
44.25,3.75,FR,38818.0434131622
44.75,3.75,FR,37975.7638034821
45.25,3.75,FR,94372.7312164307
45.75,3.75,FR,74733.3687591553
46.25,3.75,FR,59583.6409759521
46.75,3.75,FR,39594.0057678223
47.25,3.75,FR,39216.4914398193
47.75,3.75,FR,127718.034416199
48.25,3.75,FR,70583.0583648682
48.75,3.75,FR,74639.666633606
49.25,3.75,FR,156259.302368164
49.75,3.75,FR,110427.514923096
43.25,4.25,FR,6401.19102168083
43.75,4.25,FR,503035.522232056
44.25,4.25,FR,207063.787033081
44.75,4.25,FR,88750.1686687469
45.25,4.25,FR,421772.074150085
45.75,4.25,FR,259250.570831299
46.25,4.25,FR,177571.324432373
46.75,4.25,FR,132219.803764343
47.25,4.25,FR,35593.8958206177
47.75,4.25,FR,39738.2232208252
48.25,4.25,FR,192059.527351379
48.75,4.25,FR,97221.0326652527
49.25,4.25,FR,279054.559379578
43.25,4.75,FR,61845.0653181076
43.75,4.75,FR,482087.150896072
44.25,4.75,FR,312957.056106567
44.75,4.75,FR,342031.79006958
45.25,4.75,FR,317057.084960938
45.75,4.75,FR,1836957.85083008
46.25,4.75,FR,260048.426055908
46.75,4.75,FR,204524.043807983
47.25,4.75,FR,131005.137962341
47.75,4.75,FR,22066.3612794876
48.25,4.75,FR,40880.5966415405
48.75,4.75,FR,90695.3022384644
49.25,4.75,FR,35387.0549468994
42.75,5.25,FR,10
43.25,5.25,FR,1219175.11142731
43.75,5.25,FR,476329.433647156
44.25,5.25,FR,130818.47321701
44.75,5.25,FR,62310.0318717957
45.25,5.25,FR,241599.017166138
45.75,5.25,FR,458178.914428711
46.25,5.25,FR,191013.099319458
46.75,5.25,FR,102901.80531311
47.25,5.25,FR,357556.76008606
47.75,5.25,FR,50914.5199050903
48.25,5.25,FR,65771.7129821777
48.75,5.25,FR,70854.7991714478
49.25,5.25,FR,60236.6568164825
42.75,5.75,FR,10
43.25,5.75,FR,718466.441436768
43.75,5.75,FR,165275.62538147
44.25,5.75,FR,51975.66796875
44.75,5.75,FR,45801.1657485962
45.25,5.75,FR,662632.231437683
45.75,5.75,FR,376609.102279663
46.25,5.75,FR,172199.377471924
46.75,5.75,FR,108973.349716187
47.25,5.75,FR,178733.424194336
47.75,5.75,FR,40541.770904541
48.25,5.75,FR,55984.4948272705
48.75,5.75,FR,100352.645843506
42.75,6.25,FR,3612.67453384399
43.25,6.25,FR,349483.992267609
43.75,6.25,FR,90329.7868885994
44.25,6.25,FR,55153.0538063049
44.75,6.25,FR,80433.0329356194
45.25,6.25,FR,84007.2154769897
45.75,6.25,FR,350318.44519043
46.75,6.25,FR,143038.500175476
47.25,6.25,FR,199048.452087402
47.75,6.25,FR,119708.860488892
48.25,6.25,FR,133078.305976868
48.75,6.25,FR,475535.271072388
43.25,6.75,FR,172746.827141762
43.75,6.75,FR,307265.330799103
45.25,6.75,FR,42981.4849765301
47.25,6.75,FR,275357.14666748
47.75,6.75,FR,297747.126373291
48.25,6.75,FR,175281.679840088
48.75,6.75,FR,77270.9569015503
43.25,7.25,FR,10
43.75,7.25,FR,952681.175880432
47.75,7.25,FR,528558.284515381
48.25,7.25,FR,316602.830596924
48.75,7.25,FR,208497.976852417
48.75,7.75,FR,845166.47164917
41.25,8.25,FR,10
41.75,8.25,FR,10
42.25,8.25,FR,10
41.25,8.75,FR,699.388669967651
41.75,8.75,FR,121025.881945997
42.25,8.75,FR,19413.3891305178
41.25,9.25,FR,41244.3886366244
41.75,9.25,FR,35813.4739281386
42.25,9.25,FR,41726.6880102158
51.75,-10.75,IE,10
52.25,-10.75,IE,53.4113957062364
51.25,-10.25,IE,10
51.75,-10.25,IE,7425.89213207364
52.25,-10.25,IE,9692.99002124579
53.25,-10.25,IE,3891.83631372452
53.75,-10.25,IE,3297.53227685019
54.25,-10.25,IE,2371.40757283568
51.25,-9.75,IE,527.573989927769
51.75,-9.75,IE,17182.5345262997
52.25,-9.75,IE,90898.9689135253
52.75,-9.75,IE,7521.06574071944
53.25,-9.75,IE,12141.8721196651
53.75,-9.75,IE,22828.9197411686
54.25,-9.75,IE,7065.12518787384
51.25,-9.25,IE,1197.84523153305
51.75,-9.25,IE,40708.6836509705
52.25,-9.25,IE,71269.0025482178
52.75,-9.25,IE,45611.4151306152
53.25,-9.25,IE,108806.31251955
53.75,-9.25,IE,62561.8758406639
54.25,-9.25,IE,33401.7783511877
51.25,-8.75,IE,10
51.75,-8.75,IE,146355.612135887
52.25,-8.75,IE,82650.5142745972
52.75,-8.75,IE,214482.431388855
53.25,-8.75,IE,108582.523612976
53.75,-8.75,IE,62578.7809753418
54.25,-8.75,IE,36687.2188205719
54.75,-8.75,IE,3582.98349217325
51.75,-8.25,IE,280267.253769875
52.25,-8.25,IE,74670.2559280396
52.75,-8.25,IE,77126.8957595825
53.25,-8.25,IE,46957.5399131775
53.75,-8.25,IE,53540.5309371948
54.75,-8.25,IE,33132.6617099047
55.25,-8.25,IE,12915.0379873514
51.75,-7.75,IE,18236.2885716408
52.25,-7.75,IE,83926.1227912903
52.75,-7.75,IE,68991.3887023926
53.25,-7.75,IE,89107.2566757202
53.75,-7.75,IE,68178.1915168762
54.75,-7.75,IE,82827.5312023163
55.25,-7.75,IE,23040.4745532274
51.75,-7.25,IE,10
52.25,-7.25,IE,128503.101528168
52.75,-7.25,IE,99394.1699371338
53.25,-7.25,IE,153129.09765625
53.75,-7.25,IE,100879.666793823
55.25,-7.25,IE,110067.010834515
51.75,-6.75,IE,10
52.25,-6.75,IE,68777.2331867814
52.75,-6.75,IE,130947.479949951
53.25,-6.75,IE,261499.188835144
53.75,-6.75,IE,158255.880249023
52.25,-6.25,IE,42373.299342962
52.75,-6.25,IE,104027.904751644
53.25,-6.25,IE,1556965.49734306
49.25,5.75,LU,184394.939865112
49.75,5.75,LU,320996.746826172
51.25,3.25,NL,438645.193862915
51.25,3.75,NL,753183.189601898
51.75,3.75,NL,119119.95475699
51.25,4.25,NL,1494973.2760489
51.75,4.25,NL,1293387.9715271
52.25,4.25,NL,1165331.47767925
52.75,4.25,NL,10
51.25,4.75,NL,791469.748046875
51.75,4.75,NL,1368728.80395508
52.25,4.75,NL,2389545.6246376
52.75,4.75,NL,580855.971857548
51.25,5.25,NL,819846.153808594
51.75,5.25,NL,1036833.89819336
52.25,5.25,NL,1647905.94411278
52.75,5.25,NL,256123.002954747
53.25,5.25,NL,48387.3409636021
51.25,5.75,NL,725631.063110352
51.75,5.75,NL,992058.562133789
52.25,5.75,NL,734198.885192871
52.75,5.75,NL,265854.260207176
53.25,5.75,NL,299122.805428825
51.75,6.25,NL,557587.336303711
52.25,6.25,NL,580321.73046875
52.75,6.25,NL,374745.85546875
53.25,6.25,NL,281444.491928935
52.75,6.75,NL,310243.672668457
70.75,-8.75,NO,12.6522403674317
58.75,4.75,NO,10
59.25,4.75,NO,202.545661136508
59.75,4.75,NO,10
60.75,4.75,NO,11395.5779053122
61.25,4.75,NO,1163.54150778521
61.75,4.75,NO,1390.81327408552
58.25,5.25,NO,10
58.75,5.25,NO,807.199326038361
59.25,5.25,NO,86242.6759585142
59.75,5.25,NO,35702.7821156732
60.25,5.25,NO,292666.435515642
60.75,5.25,NO,39911.763219595
61.25,5.25,NO,6546.99914351385
61.75,5.25,NO,14357.7183675766
62.25,5.25,NO,3695.99973297119
58.25,5.75,NO,2683.4250600338
58.75,5.75,NO,302622.289788604
59.25,5.75,NO,36288.1963353958
59.75,5.75,NO,20247.4017481506
60.25,5.75,NO,78441.8368641809
60.75,5.75,NO,14675.900970459
61.25,5.75,NO,11258.5315376222
61.75,5.75,NO,12853.3948764801
62.25,5.75,NO,28710.2956760228
58.25,6.25,NO,10035.1364839226
58.75,6.25,NO,28199.2312383652
59.25,6.25,NO,11781.0003724098
59.75,6.25,NO,11505.4893891811
60.25,6.25,NO,11865.9442576244
60.75,6.25,NO,9839.18557357788
61.25,6.25,NO,9604.14609545469
61.75,6.25,NO,10945.4644451141
62.25,6.25,NO,59922.5042191595
57.75,6.75,NO,10
58.25,6.75,NO,20983.4560763836
58.75,6.75,NO,7265.67655563354
59.25,6.75,NO,2840.3782915473
59.75,6.75,NO,6025.7272939682
60.25,6.75,NO,4114.07191753387
60.75,6.75,NO,7430.34722995758
61.25,6.75,NO,8374.07697173953
61.75,6.75,NO,6624.98462378979
62.25,6.75,NO,20362.2659564018
62.75,6.75,NO,15542.5374214649
57.75,7.25,NO,405.277134895325
58.25,7.25,NO,22870.9925327301
58.75,7.25,NO,3614.79615688324
59.25,7.25,NO,1382.58106064796
59.75,7.25,NO,2448.39952993393
60.25,7.25,NO,2144.439432621
60.75,7.25,NO,1631.55494688451
61.25,7.25,NO,6564.19592249393
61.75,7.25,NO,3960.24139672518
62.25,7.25,NO,5431.30288076401
62.75,7.25,NO,30011.7406539917
57.75,7.75,NO,975.855003356934
58.25,7.75,NO,80324.5719518661
58.75,7.75,NO,4530.72351670265
59.25,7.75,NO,2090.16070699692
59.75,7.75,NO,2003.4067337513
60.25,7.75,NO,1676.68730211258
60.75,7.75,NO,2941.93838787079
61.25,7.75,NO,5612.6115026474
61.75,7.75,NO,2128.12141370773
62.25,7.75,NO,4012.69285774231
62.75,7.75,NO,19710.9651536942
